,district,weather,time_slot,risk_high,risk_medium,risk_low,cause
0,永康區,晴,17.0,"[146360, 148484, 170595]",[183717],"[156145, 146363]","[1, 6, 2]"
1,永康區,晴,7.0,[199841],[146360],"[181633, 188834, 170595, 148484, 177866, 164686, 188062]","[6, 1, 2]"
2,永康區,晴,8.0,[146360],"[148483, 159980]","[160832, 170595, 155269, 165103, 151889, 175738, 202810, 152315, 176991]","[1, 6, 2]"
3,永康區,晴,18.0,[],[148484],"[146360, 146363, 183717, 179991]","[1, 6, 2]"
4,永康區,晴,16.0,[],[167144],"[146360, 152315, 148484]","[1, 6, 5]"
5,永康區,晴,11.0,[],[],"[146360, 164688, 148484]","[1, 6, 8]"
6,永康區,晴,12.0,[],[156571],[194853],"[1, 6, 5]"
7,永康區,晴,10.0,[],[148484],"[160832, 163394, 170595, 146360]","[1, 6, 2]"
8,永康區,晴,15.0,[],"[177016, 170595]","[146360, 159980, 148484]","[1, 6, 5]"
9,永康區,晴,9.0,[],[],"[151889, 161239, 148484, 160838, 169366]","[1, 6, 2]"
10,永康區,晴,19.0,[],"[156571, 148484]","[151889, 168897, 146360]","[2, 1, 6]"
11,永康區,晴,14.0,[],[148484],[156571],"[1, 6, 2]"
12,永康區,晴,13.0,[],[],[146360],"[1, 5, 2]"
13,永康區,晴,20.0,[],[],"[146360, 148484]","[2, 1, 6]"
14,永康區,晴,21.0,[],[],[148484],"[1, 2, 6]"
15,永康區,晴,22.0,[],[148484],[156571],"[2, 1, 5]"
16,永康區,晴,6.0,[],[],[],"[1, 2, 5]"
17,永康區,晴,23.0,[],[],[],"[1, 5, 2]"
18,永康區,晴,0.0,[],[],[],"[1, 2, 5]"
19,永康區,晴,5.0,[],[],[],"[1, 2, 5]"
20,永康區,晴,1.0,[],[],[],"[1, 2, 5]"
21,永康區,晴,4.0,[],[],[],"[2, 5, 8]"
22,永康區,晴,2.0,[],[],[],"[2, 5, 6]"
23,永康區,晴,3.0,[],[],[],"[2, 1, 5]"
24,永康區,雨,17.0,[],[],"[196547, 167235, 178245, 173190, 181192, 201544, 164686, 171409, 169361, 187218, 180375, 157848, 196121, 193054, 169694, 194852, 151464, 165482, 175218, 177019]","[1, 8, 6]"
