,grid_id,coordinate,address
0,350626,"23.093183032,120.427687834",臺南市白河區段
1,243101,"23.093183032,120.316367834",臺南市新營區忠政里中正路段號民治路
2,240551,"23.093183032,120.313727834",臺南市新市區大營里省道臺1線段口大營里區道南140線
3,109651,"23.093183032,120.178207834",臺南市佳里區延平路段口和平街
4,240126,"23.093183032,120.313287834",臺南市新營區段新營醫院急診入口旁
5,221426,"23.093183032,120.293927834",臺南市善化區中正路段口文昌里大同路
6,239276,"23.093183032,120.312407834",臺南市新營區三民路段口三仙里民權路
7,239701,"23.093183032,120.312847834",臺南市新營區民權里中華路段口民權里民權路
8,146360,"23.023223032,120.216047834",臺南市永康區中華路段口中央路
9,148484,"23.023663032,120.218247834",臺南市永康區中華路段口中正南路
10,243526,"23.093183032,120.316807834",臺南市新營區興業里中興路段號廠前街
11,245226,"23.093183032,120.318567834",臺南市善化區小新里省道臺1線段成功路口巷弄號
12,106251,"23.093183032,120.174687834",臺南市佳里區建南里光復路段號新生路
13,108376,"23.093183032,120.176887834",臺南市佳里區東寧里中山路段號和平街
14,230351,"23.093183032,120.303167834",臺南市善化區坐駕里大成路段興華路口巷弄號
15,110076,"23.093183032,120.178647834",臺南市佳里區六安里延平路段巷弄號附近與安北路段巷弄口
16,110501,"23.093183032,120.179087834",臺南市佳里區六安里延平路段口六安里佳北路
17,236726,"23.093183032,120.309767834",臺南市新營區三仙里民治路段三興街口巷弄號
18,235876,"23.093183032,120.308887834",臺南市新營區民生里民生路段號公園路1
19,64601,"23.093183032,120.131567834",臺南市七股區段
20,134555,"22.981423032,120.203727834",臺南市南區健康路1段南門路口巷弄號
21,170595,"23.018823032,120.241127834",臺南市永康區中山南路段中山南路口巷弄號
22,241826,"23.093183032,120.315047834",臺南市新營區民權里博愛街段號信義街
23,134301,"23.093183032,120.203727834",臺南市西港區段
24,238851,"23.093183032,120.311967834",臺南市柳營區柳營路2段332
25,111351,"23.093183032,120.179967834",臺南市西港區段
26,242676,"23.093183032,120.315927834",臺南市新營區民權里中正路段巷弄號口與三民路段巷弄口
27,156571,"23.018383032000003,120.226607834",臺南市永康區中華路段口大橋二街
28,244376,"23.093183032,120.317687834",臺南市新營區新進路1段550
29,222276,"23.093183032,120.294807834",臺南市新市區省道臺19甲線段口三舍里西拉雅大道
30,227801,"23.093183032,120.300527834",臺南市善化區光文里民族路段巷弄號口與樹人路段巷弄口
31,124272,"23.017943032,120.193167834",臺南市北區中華北路一段段文賢路口巷弄號
32,235026,"23.093183032,120.308007834",臺南市新營區民生里民治路段民生路口巷弄號
33,170426,"23.093183032,120.241127834",臺南市麻豆區新興里新生南路段仁愛路口巷弄號
34,102851,"23.093183032,120.171167834",臺南市佳里區新生路段口安南路
35,176376,"23.093183032,120.247287834",臺南市安定區段巷弄號與段巷弄口
36,113901,"23.093183032,120.182607834",臺南市佳里區東寧里佳東路段巷弄號口與新生東路段巷弄口
37,104126,"23.093183032,120.172487834",臺南市佳里區文新里公園路段巷弄號口與義民街段巷弄口
38,237151,"23.093183032,120.310207834",臺南市新營區三仙里三興街段育德三街口巷弄號
39,244801,"23.093183032,120.318127834",臺南市善化區小新里省道臺1線段號西拉雅大道
40,238426,"23.093183032,120.311527834",臺南市善化區小新里成功路段16996號成功路331
41,234176,"23.093183032,120.307127834",臺南市新營區南興里建業路段號裕民路
42,175101,"23.093183032,120.245967834",臺南市麻豆區中興里三民路段中興街口巷弄號
43,249476,"23.093183032,120.322967834",臺南市新營區長榮路段東興路口巷弄號
44,128605,"22.981423032,120.197567834",臺南市南區西門路段口健康路
45,133876,"23.093183032,120.203287834",臺南市西港區慶安里中山路段巷弄235號與段巷弄口
46,115601,"23.093183032,120.184367834",臺南市佳里區段
47,242251,"23.093183032,120.315487834",臺南市六甲區段
48,221851,"23.093183032,120.294367834",臺南市善化區段口巷弄號
49,215901,"23.093183032,120.288207834",臺南市善化區省道臺19甲線段口什乃里區道南126線
50,139200,"22.994623032,120.208567834",臺南市中西區中山路段民族路口巷弄號
51,141772,"22.984943032,120.211207834",臺南市中西區大同路段號開山路
52,131511,"23.011783032,120.200647834",臺南市北區海安路段巷弄號口與和緯路段巷弄口
53,109226,"23.093183032,120.177767834",臺南市佳里區六安里中山路段巷弄號口與忠孝路段巷弄口
54,151070,"23.007823032,120.220887834",臺南市北區開元路段號長榮路
55,214626,"23.093183032,120.286887834",臺南市善化區南關里三民路段巷弄號口與文昌路段巷弄口
56,243951,"23.093183032,120.317247834",臺南市官田區隆本里省道臺1線段號勝利路
57,122655,"22.981423032,120.191407834",臺南市南區金華路段巷弄號口與健康路段巷弄口
58,225676,"23.093183032,120.298327834",臺南市善化區和平路段口光文里民生路
59,147292,"22.987143032,120.216927834",臺南市東區東門路1段231
60,112626,"23.093183032,120.181287834",臺南市佳里區仁愛路段口鎮山里中興街
61,117942,"22.998143032,120.186567834",臺南市安平區中華西路2段號安平路
62,141289,"23.010463032,120.210767834",臺南市北區公園路段口和緯路
63,111776,"23.093183032,120.180407834",臺南市學甲區明宜里中正路段巷弄號口與中山路段巷弄口
64,237576,"23.093183032,120.310647834",臺南市新營區三仙里三興街段巷弄號口與武昌街段巷弄口
65,177866,"22.998583032,120.248607834",臺南市永康區復興路段巷弄號口與高速一街段巷弄口
66,129010,"22.990223032000003,120.198007834",臺南市中西區西門路段府前路口巷弄號
67,143854,"23.003863032,120.213407834",臺南市北區北門路二段段號公園北路
68,177651,"23.093183032,120.248607834",臺南市麻豆區大埕里平等路段新興街口巷弄號
69,113476,"23.093183032,120.182167834",臺南市佳里區佳東路段口東寧里進學路
70,165103,"23.004303032000003,120.235407834",臺南市永康區中華路段口中華一路
71,182326,"23.093183032,120.253447834",臺南市麻豆區新生南路段口民權路
72,115176,"23.093183032,120.183927834",臺南市佳里區段號
73,224401,"23.093183032,120.297007834",臺南市善化區坐駕里大成路段號建國路
74,195926,"23.093183032,120.267527834",臺南市善化區興農路段口胡厝里烏橋中路
75,251601,"23.093183032,120.325167834",臺南市柳營區段號
76,146487,"22.967343032,120.216047834",臺南市東區大同路2段口國民路
77,152361,"23.000783032,120.222207834",臺南市東區小東路段長榮路口巷弄號
78,159980,"23.014423032,120.230127834",臺南市永康區段中華路永康陸橋(北向南)
79,151889,"23.021463032,120.221767834",臺南市永康區中華路段口甲頂路
80,108801,"23.093183032,120.177327834",臺南市佳里區中山路段口平等街
81,249901,"23.093183032,120.323407834",臺南市新營區段口巷弄號新營火車站後站
82,143404,"23.014863032,120.212967834",臺南市北區公園路段號北安路一段
83,110926,"23.093183032,120.179527834",臺南市佳里區段
84,221001,"23.093183032,120.293487834",臺南市新營區南紙里太子路段號長榮路3
85,249051,"23.093183032,120.322527834",臺南市善化區小新里市道178線段0小新里善山高幹9電線桿處
86,232901,"23.093183032,120.305807834",臺南市新營區民榮里復興路段復興路口巷弄號
87,147727,"22.982743032,120.217367834",臺南市東區林森路1段號長榮路1
88,155720,"23.018823032,120.225727834",臺南市永康區中華路段口大橋三街
89,177016,"22.998583032,120.247727834",臺南市永康區復興路段巷弄號口與高速二街段巷弄口
90,235451,"23.093183032,120.308447834",臺南市新市區西拉雅大道段口大營里陽光大道
91,246926,"23.093183032,120.320327834",臺南市新營區同濟街段號文昌街
92,148961,"23.000783032,120.218687834",臺南市北區小東路段巷弄號口與勝利路段巷弄口
93,165326,"23.093183032,120.235847834",臺南市安定區市道178線段口港口里定安路
94,164691,"22.998583032,120.234967834",臺南市永康區中華路段口小東路
95,198901,"23.093183032,120.270607834",臺南市鹽水區忠孝路段南側南太路
96,137492,"22.998143032,120.206807834",臺南市中西區成功路段西側公園路
97,223551,"23.093183032,120.296127834",臺南市善化區文昌里建國路段78號中正路66
98,153617,"23.009143032,120.223527834",臺南市北區開元路段號南園街
99,223976,"23.093183032,120.296567834",臺南市善化區中山路段口光文里建國路
100,224826,"23.093183032,120.297447834",臺南市善化區光文里中山路段口巷弄242號
101,141302,"23.004743032,120.210767834",臺南市北區公園路段口公園北路
102,130275,"22.994623032,120.199327834",臺南市中西區西門路段民生路口巷弄號
103,215051,"23.093183032,120.287327834",臺南市善化區文昌路段口南關里光復路
104,229076,"23.093183032,120.301847834",臺南市善化區光文里仁愛路段口光文里民生路
105,145504,"23.025863032,120.215167834",臺南市安南區安和路1段東側府安路3
106,119851,"23.093183032,120.188767834",臺南市佳里區段
107,125141,"23.009583032,120.194047834",臺南市北區和緯路三段段號文賢路
108,139185,"23.001223032,120.208567834",臺南市北區公園路段號公園南路
109,160832,"23.013543032,120.231007834",臺南市永康區中華路段口中山南路
110,107742,"22.998143032,120.176007834",臺南市安平區安平路段口華平路
111,117497,"23.006943032,120.186127834",臺南市北區和緯路四段段號中華北路一段
112,138363,"22.988903032,120.207687834",臺南市中西區開山路段南側府前路
113,163854,"22.992863032,120.234087834",臺南市東區中華東路1段口凱旋路
114,127724,"22.995063032,120.196687834",臺南市中西區民生路段號海安路
115,148955,"23.003423032,120.218687834",臺南市北區東豐路段勝利路口巷弄號
116,229926,"23.093183032,120.302727834",臺南市新營區復興路段西側民治路
117,106676,"23.093183032,120.175127834",臺南市佳里區六安里忠孝路段巷弄號口與光復路段巷弄口
118,238001,"23.093183032,120.311087834",臺南市新營區和平路95段25
119,176801,"23.093183032,120.247727834",臺南市麻豆區中興里興國路段口巷弄56之8號
120,177226,"23.093183032,120.248167834",臺南市安定區蘇厝里蘇厝段口巷弄333-26號
121,222701,"23.093183032,120.295247834",臺南市新市區省道臺19甲線段三舍159-400
122,152821,"22.985383032,120.222647834",臺南市東區東門路段口林森路
123,116212,"23.011343032,120.184807834",臺南市北區中華北路1段口安明路觀海橋
124,178926,"23.093183032,120.249927834",臺南市安定區蘇厝里市道178線段號直加弄大道
125,196776,"23.093183032,120.268407834",臺南市善化區胡厝寮段0胡家里胡厝寮里內道路(陽明92號電桿)路段
126,169151,"23.093183032,120.239807834",臺南市麻豆區段
127,143795,"23.029823032,120.213407834",臺南市安南區安和路段巷弄號東側與安通路段巷弄口
128,142557,"23.013543032,120.212087834",臺南市北區公園路段長榮路五段口巷弄號
129,146363,"23.021903032,120.216047834",臺南市永康區中正南路段中央路口巷弄號
130,107101,"23.093183032,120.175567834",臺南市佳里區建南里建南街段口建南里自由街
131,99451,"23.093183032,120.167647834",臺南市佳里區南勢里新生路段巷弄號口與佳西路段巷弄口
132,133451,"23.093183032,120.202847834",臺南市西港區慶安里省道臺19線段巷弄號口與區道南34線段巷弄口
133,173401,"23.093183032,120.244207834",臺南市麻豆區新興里自由路段光復路口巷弄號
134,155269,"23.030263032,120.225287834",臺南市永康區中正南路段東側尚頂里中正南路210
135,199326,"23.093183032,120.271047834",臺南市善化區段巷弄號興農路與烏橋中路口與段巷弄口
136,178501,"23.093183032,120.249487834",臺南市麻豆區巷口里興南路段號民族路
137,130679,"23.003863032,120.199767834",臺南市北區海安路段口臨安路
138,201026,"23.093183032,120.272807834",臺南市鹽水區忠孝路段口信義路
139,241401,"23.093183032,120.314607834",臺南市六甲區段
140,114751,"23.093183032,120.183487834",臺南市佳里區段
141,212926,"23.093183032,120.285127834",臺南市新營區嘉芳里復興路段號嘉芳街
142,240976,"23.093183032,120.314167834",臺南市新市區省道臺1線段0大營里台1線南下317K處路段
143,152315,"23.021023032,120.222207834",臺南市永康區中華路段南台街口巷弄號
144,180902,"22.971743032,120.251687834",臺南市仁德區中山路段中正路口巷弄號
145,180201,"23.093183032,120.251247834",臺南市麻豆區巷口里興中路段巷弄號口與民權路段巷弄口
146,174485,"22.990223032000003,120.245087834",臺南市東區裕農路段巷弄號口與裕信路段巷弄口
147,112201,"23.093183032,120.180847834",臺南市西港區永樂里市道173線段區道南41線口巷弄號
148,196351,"23.093183032,120.267967834",臺南市鹽水區橋南里行昌路段號橋南街
149,252026,"23.093183032,120.325607834",臺南市柳營區段巷弄號與段巷弄口
150,218026,"23.093183032,120.290407834",臺南市善化區中興路段口東關里大同路
151,139255,"22.970423032,120.208567834",臺南市南區國民路段國民路口巷弄號
152,226951,"23.093183032,120.299647834",臺南市善化區信義路段口光文里民生路
153,104551,"23.093183032,120.172927834",臺南市佳里區段巷弄號安西路與忠孝路口與段巷弄口
154,134726,"23.093183032,120.204167834",臺南市西港區段
155,231626,"23.093183032,120.304487834",臺南市善化區蓮潭里蓮潭北三街段口蓮潭里善新西路
156,123065,"22.988023032,120.191847834",臺南市中西區金華路段永華路口巷弄號
157,142175,"22.994623032,120.211647834",臺南市東區北門路段號民族路
158,226526,"23.093183032,120.299207834",臺南市柳營區八翁里長榮路5段中山西路口巷弄號
159,194226,"23.093183032,120.265767834",臺南市鹽水區津城里武廟路段巷弄號南側與文武街段巷弄口
160,176166,"22.998583032,120.246847834",臺南市永康區復興路段口復國路
161,118388,"22.988903032,120.187007834",臺南市中西區中華西路段號永華路
162,170662,"22.989343032,120.241127834",臺南市東區裕農路段口裕忠路
163,199841,"23.053583032,120.271487834",臺南市永康區中正北路段口和平東路
164,107951,"23.093183032,120.176447834",臺南市佳里區建南街段1272東側
165,153683,"22.980103032,120.223527834",臺南市東區崇學路段口崇善路
166,233751,"23.093183032,120.306687834",臺南市官田區段
167,194853,"23.004303032000003,120.266207834",臺南市永康區大灣路段大灣路口巷弄號
168,130217,"23.020143032,120.199327834",臺南市北區中華北路二段段巷弄號口與海安路三段段巷弄口
169,217176,"23.093183032,120.289527834",臺南市善化區頂街里中山路段號中華路
170,156651,"22.983183032,120.226607834",臺南市東區東門路2段口裕豐街
171,122244,"22.975263032,120.190967834",臺南市南區金華路段新興路口巷弄號
172,158313,"22.999903032,120.228367834",臺南市北區小東路段東豐路口巷弄號
173,179776,"23.093183032,120.250807834",臺南市麻豆區大埕里博愛路段口復興街
174,142631,"22.980983032,120.212087834",臺南市東區大同路段巷弄號口與林森路段巷弄口
175,142594,"22.997263032,120.212087834",臺南市東區北門路2段口巷弄4號
176,125135,"23.012223032,120.194047834",臺南市北區文賢路段號大興街
177,227376,"23.093183032,120.300087834",臺南市新營區新南里長榮路2段巷弄號南側與新北五街段143巷弄口
178,140533,"22.969103032,120.209887834",臺南市南區中華南路一段段號國民路
179,204001,"23.093183032,120.275887834",臺南市新營區段太南里台19甲線3.5公里
180,165078,"23.015303032,120.235407834",臺南市永康區中山南路段號中山東路
181,184026,"23.093183032,120.255207834",臺南市麻豆區東角里興中路段號忠孝路
182,220151,"23.093183032,120.292607834",臺南市善化區文昌里大信路段口文昌里永福路
183,160838,"23.010903032,120.231007834",臺南市永康區六合路段六合路口巷弄號
184,201876,"23.093183032,120.273687834",臺南市善化區興農路段口胡厝里南科北路
185,223126,"23.093183032,120.295687834",臺南市善化區青年路段口坐駕里民生路
186,183717,"23.042143032,120.254767834",臺南市永康區中正北路段巷弄號口與蔦松二街段巷弄口
187,139162,"23.011343032,120.208567834",臺南市北區西門路四段段和緯路二段口巷弄號
188,132176,"23.093183032,120.201527834",臺南市西港區慶安里新興街段巷弄號口與新興街段15巷弄口
189,134082,"23.002543032,120.203287834",臺南市北區西門路三段段公園南路口巷弄號
190,216326,"23.093183032,120.288647834",臺南市善化區進學路段口文正里光復路
191,218876,"23.093183032,120.291287834",臺南市善化區永福路段口文昌里大同路
192,228226,"23.093183032,120.300967834",臺南市新營區新南里隋唐街段隋唐街口巷弄號
193,246076,"23.093183032,120.319447834",臺南市善化區省道臺1線段成功新村30小新里臺1線與未命名道路口(成功新村3號前)
194,190401,"23.093183032,120.261807834",臺南市麻豆區段號
